Row_ID,Y1,Var0,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
1,U,0.621,1.950582125,0.22081287,0.963022342,1.77765213,0.317233295,-0.726851166,-1.321038178,-1.36893572
2,L,0.379,0.64556083,0.611278677,1.544571821,1.367276599,0.317233295,-0.83436116,-0.838323687,-1.069951088
3,U,0.759,-1.442473242,1.001744484,6.196967657,1.57246438,2.006130296,-2.231991079,-1.240585763,-2.863858877
4,H,0.138,0.906565089,0.22081287,0.963022342,0.956901077,1.232052504,0.240738777,-0.677418857,-1.593174191
5,Q,0.793,0.64556083,0.22081287,0.963022342,0.854307202,0.52834542,-0.619341173,-1.240585763,-0.397235663
6,O,0.793,1.689577866,1.001744484,0.963022342,0.649119442,0.176491878,-0.189301198,-1.401490593,-0.995204926
7,H,0.103,1.428573607,1.782676098,2.126121301,1.367276649,-0.527215206,-1.264401135,-2.206014745,-2.191143451
8,D,0.103,1.428573607,1.782676098,2.126121301,1.7776522,-0.667956623,-1.371911129,-2.12556233,-2.265889609
9,W,0.034,0.384556571,-0.169652937,1.544571821,0.854307242,1.020940379,-0.404321185,-0.596966442,-0.546727975
10,U,0.517,2.211586384,1.392210291,1.544571821,0.956901137,0.880198962,-0.619341173,-0.757871272,-1.294189553
11,C,0.207,0.123552312,0.611278677,0.381472862,0.443931721,0.739457545,0.563268758,-0.436061611,-1.817412658
12,Q,0.103,2.472590643,0.22081287,1.544571821,1.469870584,0.669086837,-1.049381148,-1.803752669,-1.518428025
13,Q,0.966,2.472590643,1.392210291,2.70767078,0.854307282,0.95056967,-1.371911129,-1.240585763,-2.116397287
14,I,0.138,1.950582125,1.001744484,0.963022342,1.162088948,0.809828254,-0.081791204,-0.838323687,-1.742666497
15,H,0.276,0.123552312,0.611278677,0.963022342,1.059495073,0.880198962,-0.511831179,-1.079680933,-1.59317418
16,A,0.103,4.821628975,1.392210291,2.126121301,1.77765228,0.176491878,-2.55452106,-2.930086482,-2.564874233
17,A,0.103,3.777611939,0.22081287,3.870769739,1.162088978,0.317233295,-1.264401135,-1.723300254,-2.191143441
18,J,0.138,1.167569348,-0.169652937,0.381472862,0.854307332,0.669086837,-1.156891141,-0.838323687,-1.518428019
19,W,0.103,0.906565089,0.611278677,1.544571821,0.751713456,0.317233295,-1.264401135,-1.240585763,-1.81741265
20,R,0.103,3.51660768,1.392210291,3.289220259,1.57246455,-0.034620247,-1.156891141,-2.608276821,-1.892158807
21,A,0.103,2.211586384,1.392210291,3.870769739,0.854307362,0.246862586,-1.264401135,-1.884205085,-1.966904963
22,Z,0.103,-0.659460465,-0.560118744,-0.781626097,-0.376819252,1.020940379,0.348248771,0.609819786,-0.098251014
23,R,0.414,0.384556571,1.001744484,-0.200076617,0.23874407,0.739457545,-1.801951104,-0.596966442,-0.247743329
24,R,0.276,-0.398456206,-0.169652937,-0.200076617,0.136150195,0.739457545,-0.081791204,0.448914956,-0.17299717
25,A,0.207,-0.659460465,0.22081287,-1.363175576,-0.376819222,0.739457545,0.133228783,0.288010125,-0.023504853
26,A,0.379,-0.659460465,-0.560118744,-0.781626097,-0.582006983,1.161681796,0.133228783,0.770724616,0.275479779
27,K,0.103,3.51660768,2.954073519,2.126121301,1.982840161,-0.316103081,-2.447011066,-2.12556233,-1.742666484
28,H,0.345,-0.920464724,-0.560118744,-0.781626097,-0.787194733,1.232052504,0.455758765,0.690272201,-0.471981798
29,O,0.103,2.994599161,1.782676098,1.544571821,0.649119672,0.246862586,-0.83436116,-1.723300254,-2.639620377
30,P,0.379,-0.137451947,0.611278677,-0.200076617,0.136150255,-0.316103081,0.563268758,-0.918776102,-2.041651112
31,A,0.034,-0.659460465,-0.950584551,-0.781626097,-0.684600817,1.020940379,0.993308733,0.931629447,-0.397235637
32,K,0.759,0.123552312,0.22081287,-0.781626097,0.341338046,0.809828254,-0.83436116,-0.355609196,-0.546727952
33,K,0.621,-0.659460465,-0.560118744,-0.200076617,0.0335564,0.669086837,0.563268758,0.04665288,-0.172997161
34,L,0.103,1.950582125,0.611278677,2.126121301,1.367276919,-0.245732372,-2.231991079,-1.562395424,-1.443681845
35,X,0.103,2.472590643,2.173141905,2.126121301,1.264683043,-1.019810164,-2.339501072,-2.447371991,-2.116397265
36,R,0.034,-0.920464724,-0.169652937,-0.781626097,0.03355643,0.809828254,-0.404321185,0.127105295,-0.098251
37,H,0.103,-0.398456206,0.22081287,-0.200076617,0.341338096,0.176491878,0.240738777,-0.194704366,-0.920458737
38,M,0.379,-0.659460465,-0.560118744,-0.781626097,-0.684600747,0.95056967,-0.511831179,0.20755771,-1.219443368
39,Q,0.276,-0.137451947,0.22081287,-0.200076617,0.341338116,-0.316103081,-0.404321185,-0.596966442,-1.069951051
40,U,0.103,1.689577866,2.173141905,1.544571821,1.264683093,-0.316103081,-2.339501072,-2.045109915,-0.920458734
41,D,0.103,1.950582125,0.611278677,0.381472862,1.367276989,0.035750461,-1.801951104,-1.803752669,-1.219443365
42,B,0.414,0.123552312,-0.560118744,-0.200076617,-0.479412937,1.091311087,0.88579874,-0.033799535,-0.99520489
43,W,0.379,-0.398456206,-0.560118744,-0.781626097,-0.684600697,0.880198962,0.133228783,0.127105295,-0.995204889
44,H,0.103,2.211586384,1.001744484,1.544571821,1.77765256,-0.034620247,-1.801951104,-1.562395424,-1.294189519
45,A,0.103,3.255603421,2.563607712,1.544571821,2.085434227,-0.386473789,-3.629620997,-2.769181651,-1.667920308
46,",",0.103,2.211586384,1.782676098,0.963022342,1.162089268,-0.597585914,-2.124481085,-2.206014745,-1.368935675
47,U,0.586,-0.137451947,0.22081287,0.381472862,1.059495393,0.246862586,-1.586931116,-0.677418857,-0.471981779
48,D,0.034,0.64556083,-0.169652937,0.381472862,1.264683173,0.035750461,-1.156891141,-0.516514026,-0.322489462
49,A,0.034,0.906565089,0.22081287,0.381472862,0.751713756,0.669086837,-0.619341173,-0.999228518,-0.845712567
50,N,0.621,-0.659460465,-0.560118744,-0.781626097,-0.479412857,1.372793921,0.455758765,1.092534277,0.723956751
51,C,0.103,1.167569348,1.782676098,2.126121301,1.57246486,0.457974712,-1.801951104,-1.240585763,-0.995204881
52,L,0.897,-0.659460465,-0.950584551,-0.781626097,-0.069037296,1.372793921,0.563268758,1.012081862,0.499718279
53,A,0.379,-0.659460465,-0.560118744,-0.781626097,-0.376818942,1.232052504,0.348248771,0.448914956,0.574464438
54,R,0.966,-0.137451947,-0.169652937,0.381472862,0.136150495,0.669086837,-0.189301198,-0.275156781,-0.471981772
55,U,0.897,-0.398456206,-0.560118744,-0.781626097,-0.684600577,0.95056967,0.348248771,0.609819786,-0.247743297
56,L,0.034,-0.659460465,-0.169652937,-0.200076617,-0.479412797,1.232052504,-0.081791204,0.529367371,0.275479809
57,A,0.034,0.64556083,1.392210291,0.381472862,0.751713836,-0.104990955,-0.726851166,-0.436061611,-0.696220242
58,U,0.276,-0.398456206,-0.560118744,-0.200076617,-0.069037236,1.091311087,0.563268758,-0.194704366,-0.770966399
